age,annual_income,employment_length_years,loan_amount,loan_term_months,credit_history_years,num_credit_lines,num_delinquencies_2y,revolving_utilization,debt_to_income,inquiries_6m,home_ownership,loan_purpose,default
32,71334.2,10.8,3909.69,36,3.8,10,1,0.628,0.583,0,OWN,major_purchase,1
39,27267.03,2.0,6036.62,60,3.4,4,0,0.195,0.453,0,RENT,credit_card,0
25,57056.49,3.0,16201.75,12,3.6,2,0,0.455,0.67,0,RENT,debt_consolidation,1
42,81404.3,5.7,15186.7,36,5.9,2,1,0.037,0.244,1,MORTGAGE,small_business,0
31,48147.46,8.9,9580.16,36,8.5,6,0,0.702,0.07,1,MORTGAGE,home_improvement,0
35,73358.94,2.0,3116.59,60,11.9,5,0,0.416,0.344,0,MORTGAGE,major_purchase,0
31,31957.02,3.6,32640.51,48,10.9,5,1,0.178,0.366,3,MORTGAGE,small_business,0
58,21697.89,15.8,4382.04,12,3.3,5,2,0.706,0.358,0,RENT,credit_card,1
38,73597.5,6.2,13552.46,24,10.0,4,0,0.416,0.195,2,OWN,car,0
26,141379.87,8.5,8559.46,12,9.0,9,0,0.315,0.285,4,MORTGAGE,debt_consolidation,0
47,31325.11,11.5,13922.1,24,3.5,7,0,0.61,0.484,0,MORTGAGE,small_business,0
25,106107.37,6.3,24160.27,24,2.2,5,0,0.17,0.198,2,RENT,credit_card,0
40,55485.83,2.1,12238.71,12,17.9,4,1,0.271,0.577,1,RENT,credit_card,1
18,25987.47,4.9,16746.72,36,1.0,3,1,0.085,0.073,0,MORTGAGE,credit_card,0
23,29076.11,8.9,69203.27,60,6.0,5,0,0.228,0.283,0,MORTGAGE,debt_consolidation,1
40,54648.75,9.5,20114.28,48,8.5,6,0,0.608,0.754,1,MORTGAGE,credit_card,1
46,43370.98,3.8,4114.55,24,3.6,10,0,0.555,0.137,4,RENT,home_improvement,1
40,26315.09,3.5,2099.12,48,10.4,3,0,0.409,0.575,2,MORTGAGE,home_improvement,1
37,21338.72,3.5,15059.22,60,8.9,10,0,0.339,0.433,0,RENT,small_business,1
35,34006.41,9.6,8280.2,48,8.2,5,1,0.727,0.864,0,OWN,home_improvement,0
22,60270.31,4.0,17652.9,36,5.0,2,1,0.698,0.185,1,RENT,major_purchase,0
30,53985.98,1.0,2371.09,24,9.3,6,0,0.222,0.211,0,MORTGAGE,credit_card,0
33,41122.85,4.6,22016.49,48,3.0,4,1,0.304,0.334,1,OWN,debt_consolidation,0
50,60538.69,8.8,10290.6,48,4.2,6,1,0.353,0.189,1,MORTGAGE,major_purchase,0
42,95991.48,11.0,38320.15,24,8.9,4,0,0.673,0.281,1,RENT,car,0
19,67290.18,3.7,10915.15,24,2.0,3,0,0.514,0.349,1,RENT,credit_card,1
42,50679.68,5.7,15080.6,48,6.8,5,1,0.201,0.605,0,MORTGAGE,credit_card,0
34,90259.09,5.5,8718.68,60,17.0,5,0,0.273,0.393,0,MORTGAGE,home_improvement,0
31,31954.95,4.9,8324.4,12,10.8,11,1,0.279,0.592,0,RENT,other,1
45,47872.39,4.9,13040.31,60,7.9,3,0,0.296,0.131,1,MORTGAGE,small_business,0
49,48504.0,8.0,9087.76,24,10.3,5,0,0.378,0.661,1,RENT,credit_card,0
48,27437.77,11.2,7669.53,36,7.1,3,0,0.671,0.333,4,RENT,car,0
29,43004.89,5.0,13655.1,12,12.0,9,0,0.301,0.189,1,MORTGAGE,debt_consolidation,1
35,17305.37,2.5,7742.73,12,4.6,4,0,0.216,0.066,4,RENT,home_improvement,1
42,155080.24,7.5,13924.83,24,3.1,4,0,0.525,0.364,0,RENT,major_purchase,0
49,32351.72,18.4,4261.32,36,1.1,6,0,0.42,0.578,0,RENT,credit_card,0
33,129620.05,7.4,10997.89,60,13.9,9,0,0.56,0.541,0,OWN,debt_consolidation,0
36,55323.14,6.5,9759.21,12,4.7,5,0,0.211,0.203,0,MORTGAGE,credit_card,0
26,73915.31,2.7,2846.63,36,9.0,3,1,0.586,0.073,0,OWN,home_improvement,0
25,41405.13,1.1,5236.82,36,8.0,5,0,0.369,0.543,1,MORTGAGE,credit_card,1
47,60740.22,5.3,2350.62,60,14.5,12,2,0.698,0.611,2,MORTGAGE,other,1
53,77479.55,7.4,11627.77,24,0.9,10,1,0.026,0.478,0,MORTGAGE,car,0
37,78081.14,13.7,6779.61,36,9.3,3,0,0.361,0.074,2,RENT,debt_consolidation,0
49,82960.96,6.3,9011.9,12,4.5,12,1,0.195,0.275,4,MORTGAGE,medical,0
42,44241.43,1.4,24311.5,60,6.6,2,1,0.235,0.527,0,OWN,credit_card,1
31,41597.78,2.8,10933.82,36,14.0,2,1,0.213,0.078,0,RENT,car,0
42,22543.52,6.7,13031.72,36,7.7,4,0,0.155,0.321,0,OWN,credit_card,0
55,72241.54,6.7,8182.27,12,5.2,10,0,0.762,0.463,2,OWN,debt_consolidation,1
38,98253.71,9.4,7039.39,12,11.4,5,0,0.118,0.441,0,RENT,other,0
55,131766.93,3.1,4619.98,48,8.7,4,0,0.599,0.446,2,OWN,home_improvement,0
18,64077.27,14.0,16864.18,36,1.0,6,1,0.055,0.196,2,OWN,debt_consolidation,0
47,35540.78,7.9,27625.35,24,9.6,2,0,0.102,0.298,0,RENT,debt_consolidation,0
39,21302.87,3.0,22081.91,36,7.0,4,0,0.181,0.101,1,OWN,home_improvement,0
35,96078.1,4.8,5363.51,60,16.4,4,2,0.309,0.558,2,OWN,medical,0
39,20171.94,2.1,23241.45,24,6.2,5,0,0.335,0.332,0,RENT,debt_consolidation,0
18,44921.32,9.4,9927.03,60,1.0,8,1,0.386,0.074,1,RENT,debt_consolidation,0
36,47888.53,12.1,26446.03,48,6.4,2,0,0.074,0.569,1,MORTGAGE,medical,1
42,52145.84,17.0,13784.33,24,10.6,6,0,0.634,0.159,1,MORTGAGE,medical,0
54,55253.75,5.6,13204.31,48,5.8,2,1,0.29,0.401,1,OWN,debt_consolidation,1
32,58453.17,6.9,13418.08,48,6.6,5,0,0.467,0.538,1,MORTGAGE,home_improvement,0
29,14350.65,6.5,3958.7,36,11.7,8,1,0.39,0.179,3,RENT,medical,0
32,54614.83,11.7,5125.24,48,1.1,3,0,0.049,0.141,1,RENT,debt_consolidation,1
48,15894.58,3.3,7512.53,24,6.5,6,0,0.262,0.115,0,MORTGAGE,other,0
42,81041.77,4.8,8789.69,48,3.8,2,0,0.209,0.234,0,MORTGAGE,home_improvement,0
32,39921.93,7.1,11733.7,36,2.3,9,0,0.121,0.702,0,OWN,credit_card,0
44,16541.54,11.2,8287.25,24,9.7,3,0,0.346,0.065,1,RENT,credit_card,0
39,34620.02,13.2,8074.6,48,11.6,8,1,0.644,0.326,0,RENT,debt_consolidation,1
49,39595.02,10.5,23014.03,48,7.7,5,0,0.55,0.11,0,MORTGAGE,medical,0
30,104285.21,5.1,24608.86,24,13.0,6,1,0.289,0.202,1,MORTGAGE,other,0
34,60364.16,8.5,15728.23,24,8.9,7,0,0.513,0.165,1,RENT,credit_card,0
34,65476.38,5.9,7081.48,36,7.2,4,1,0.546,0.235,1,OWN,debt_consolidation,0
22,103742.99,4.0,14064.45,36,5.0,4,0,0.481,0.251,1,RENT,small_business,0
41,51385.98,6.4,23583.03,48,15.6,3,0,0.473,0.061,4,RENT,credit_card,0
41,82026.97,25.6,9437.49,36,6.4,3,0,0.275,0.098,0,MORTGAGE,debt_consolidation,0
38,78914.76,3.3,24477.31,48,1.0,6,0,0.153,0.201,2,RENT,credit_card,0
35,26700.61,3.6,34937.01,36,14.7,12,1,0.44,0.549,1,MORTGAGE,home_improvement,1
22,121800.65,5.6,19643.53,12,4.1,6,0,0.151,0.549,0,OWN,credit_card,0
33,24805.83,10.9,15866.38,48,6.6,6,1,0.482,0.21,1,MORTGAGE,debt_consolidation,0
34,89729.21,1.4,13469.31,60,2.4,6,0,0.307,0.202,1,RENT,debt_consolidation,0
29,23520.08,9.7,16000.75,36,2.6,5,0,0.535,0.553,0,MORTGAGE,debt_consolidation,0
36,75408.87,3.9,14059.66,48,5.8,3,1,0.776,0.126,0,MORTGAGE,home_improvement,1
42,150851.8,9.2,5247.86,48,11.6,10,1,0.327,0.261,2,RENT,debt_consolidation,0
59,48187.83,7.2,24300.35,36,9.1,5,0,0.711,0.586,1,RENT,home_improvement,1
40,47051.8,4.7,11514.96,24,5.3,6,0,0.442,0.179,1,RENT,debt_consolidation,0
41,75791.54,1.9,47216.9,60,4.9,6,0,0.834,0.131,1,MORTGAGE,debt_consolidation,0
37,45199.08,11.2,57514.51,48,6.5,5,1,0.622,0.495,0,RENT,major_purchase,0
18,147274.47,5.4,9408.85,60,1.0,5,1,0.139,0.423,1,MORTGAGE,other,0
38,60216.74,4.7,12367.02,48,12.7,10,0,0.275,0.575,2,RENT,home_improvement,1
39,45429.04,3.4,8449.2,24,4.6,4,0,0.574,0.155,1,RENT,credit_card,0
65,40249.1,7.6,6173.59,36,2.9,0,0,0.345,0.551,1,RENT,major_purchase,0
36,32431.27,11.0,10567.3,24,9.1,5,0,0.464,0.757,1,OWN,medical,0
41,38358.63,5.9,11154.9,24,2.9,7,0,0.748,0.228,1,RENT,major_purchase,0
38,44673.23,3.4,5002.58,48,4.4,4,1,0.057,0.55,1,MORTGAGE,credit_card,0
25,41431.57,12.8,5590.72,36,8.0,6,1,0.597,0.263,3,MORTGAGE,major_purchase,0
51,37722.18,2.6,1837.38,12,6.3,5,0,0.436,0.59,0,MORTGAGE,credit_card,0
46,171847.49,5.2,5425.03,36,3.7,4,2,0.131,0.15,2,OWN,car,0
47,30743.93,11.7,18162.44,60,10.5,8,0,0.428,0.613,2,OWN,other,1
28,58726.59,4.9,26002.05,24,7.2,4,0,0.551,0.57,0,OWN,credit_card,0
53,75048.25,1.8,3351.82,36,2.3,5,0,0.393,0.405,0,RENT,car,0
23,76615.86,6.8,4894.78,36,5.1,3,0,0.319,0.102,0,MORTGAGE,home_improvement,0
44,52457.89,13.0,22836.47,24,7.7,6,2,0.22,0.18,0,RENT,credit_card,0
62,47458.63,3.9,6554.0,60,1.7,4,0,0.031,0.368,1,MORTGAGE,credit_card,0
27,69449.22,4.3,8293.89,36,7.3,7,1,0.23,0.278,2,MORTGAGE,debt_consolidation,0
32,62729.49,11.1,7240.79,24,4.6,0,0,0.311,0.376,1,RENT,car,0
39,46984.48,0.4,18961.53,36,4.0,3,2,0.592,0.805,3,MORTGAGE,debt_consolidation,1
32,22947.56,13.2,29857.98,36,4.2,3,0,0.079,0.371,1,MORTGAGE,debt_consolidation,0
21,41883.28,3.7,11432.23,24,2.9,4,1,0.56,0.487,0,RENT,debt_consolidation,1
39,28836.51,1.4,8405.14,24,9.1,4,0,0.817,0.197,1,MORTGAGE,small_business,1
26,37536.24,5.0,9578.61,36,6.8,6,0,0.526,0.443,1,RENT,credit_card,0
43,55175.42,8.8,18678.11,12,9.5,3,0,0.42,0.649,2,OWN,credit_card,0
28,65993.06,4.7,14989.43,12,10.6,2,0,0.2,0.433,1,RENT,debt_consolidation,1
55,144242.19,2.3,9411.01,36,1.8,7,0,0.368,0.169,0,RENT,major_purchase,0
29,40312.89,11.0,10655.04,36,12.0,10,1,0.207,0.03,3,RENT,debt_consolidation,1
34,82954.21,5.3,7110.14,24,6.0,5,1,0.175,0.338,1,MORTGAGE,major_purchase,0
47,64105.02,1.4,7323.32,48,5.7,7,0,0.231,0.34,0,RENT,medical,0
24,110503.09,7.6,4726.51,12,7.0,3,2,0.445,0.015,0,RENT,car,0
41,74378.77,1.8,21750.2,24,5.0,5,0,0.377,0.043,3,MORTGAGE,credit_card,0
52,31111.57,17.2,2811.65,24,3.4,3,0,0.185,0.647,1,RENT,debt_consolidation,0
20,21000.99,6.3,12930.45,48,3.0,5,1,0.698,0.112,0,RENT,credit_card,1
40,64292.22,3.1,10764.09,36,7.2,6,0,0.59,0.505,1,MORTGAGE,home_improvement,0
41,40511.94,3.0,10338.23,24,14.5,5,0,0.378,0.311,1,RENT,debt_consolidation,1
47,31597.32,6.1,7575.22,36,2.8,3,1,0.935,0.087,0,OWN,home_improvement,0
24,26979.49,14.8,9169.75,48,7.0,3,0,0.438,0.66,0,RENT,medical,0
23,59191.69,3.6,31444.71,12,1.5,2,1,0.16,0.598,3,RENT,other,1
44,124149.19,4.8,11428.56,48,24.8,5,2,0.351,0.243,1,RENT,home_improvement,0
41,43270.67,7.5,12051.18,36,2.7,8,1,0.189,0.657,1,RENT,major_purchase,1
41,74955.41,4.9,12282.42,24,2.5,5,1,0.541,0.166,3,MORTGAGE,debt_consolidation,1
42,51213.25,1.8,7180.29,48,11.1,2,2,0.58,0.289,2,MORTGAGE,debt_consolidation,0
31,26657.87,6.1,7779.26,36,9.2,6,0,0.451,0.271,1,RENT,major_purchase,0
41,81157.44,3.6,15007.89,36,7.2,4,0,0.396,0.571,0,OWN,car,1
41,29670.82,4.7,6605.73,48,1.4,4,0,0.119,0.279,1,MORTGAGE,debt_consolidation,1
30,54824.62,16.1,10321.72,24,5.8,6,0,0.345,0.594,1,MORTGAGE,credit_card,1
59,44898.68,4.9,21959.09,12,3.5,3,0,0.259,0.126,0,OWN,credit_card,0
43,88538.48,0.7,7315.78,60,2.0,5,2,0.731,0.487,0,MORTGAGE,other,1
25,30273.16,4.5,10241.01,24,8.0,9,0,0.656,0.659,1,RENT,home_improvement,1
45,67169.76,5.5,9260.16,36,5.6,5,0,0.337,0.645,3,MORTGAGE,major_purchase,1
27,34136.12,8.7,14786.42,60,7.8,1,0,0.636,0.322,2,MORTGAGE,debt_consolidation,0
47,40900.28,6.8,11934.68,24,2.7,3,0,0.231,0.395,1,RENT,debt_consolidation,0
51,12000.0,6.7,7256.4,60,2.1,7,1,0.281,0.118,2,MORTGAGE,car,0
29,171211.38,7.1,7944.93,36,12.0,2,0,0.285,0.207,2,OWN,medical,0
49,73335.96,9.6,7449.36,60,10.5,5,0,0.695,0.602,1,RENT,debt_consolidation,1
43,35523.83,1.7,7097.66,12,8.5,6,1,0.526,0.326,2,MORTGAGE,debt_consolidation,0
47,29185.85,19.9,3818.07,36,6.3,7,1,0.779,0.616,1,RENT,debt_consolidation,0
59,41249.46,4.4,12193.17,60,4.0,8,1,0.141,0.4,0,MORTGAGE,credit_card,0
35,80360.96,2.5,7320.56,24,11.7,6,2,0.778,0.591,0,MORTGAGE,credit_card,1
30,19136.51,7.6,14620.51,24,3.5,4,0,0.394,0.642,1,RENT,home_improvement,1
28,50117.65,4.7,11507.37,24,4.6,7,2,0.807,0.401,2,MORTGAGE,car,0
29,143465.95,10.5,8720.61,60,12.0,2,0,0.374,0.621,1,RENT,debt_consolidation,0
37,29037.1,3.7,8303.51,24,5.8,5,0,0.269,0.823,1,MORTGAGE,home_improvement,1
42,56625.33,11.4,4952.83,24,7.2,5,0,0.362,0.199,0,MORTGAGE,debt_consolidation,0
41,182010.63,2.5,11820.39,48,1.1,5,0,0.15,0.307,1,MORTGAGE,debt_consolidation,0
47,76702.03,17.3,10405.67,36,12.6,7,0,0.442,0.356,0,MORTGAGE,credit_card,0
38,58061.5,5.7,7525.6,36,8.7,5,1,0.462,0.233,2,MORTGAGE,major_purchase,0
54,71585.66,14.3,3328.94,36,10.5,5,0,0.416,0.368,1,RENT,home_improvement,1
35,43456.86,2.2,9667.52,36,16.9,5,0,0.441,0.19,1,RENT,home_improvement,0
68,110724.14,9.3,10108.56,36,17.9,4,0,0.573,0.342,2,RENT,credit_card,1
45,43493.57,9.1,21188.88,60,5.7,2,0,0.479,0.431,0,MORTGAGE,major_purchase,1
29,18443.18,5.0,11187.11,24,12.0,4,3,0.505,0.289,2,MORTGAGE,debt_consolidation,1
26,43686.01,0.8,22350.77,60,5.3,6,0,0.207,0.409,2,RENT,debt_consolidation,1
43,31834.19,9.3,7500.81,24,3.4,6,2,0.641,0.246,0,RENT,major_purchase,1
36,46413.39,4.5,9326.65,24,6.5,1,0,0.039,0.191,1,MORTGAGE,car,0
46,46981.25,12.9,5974.69,36,23.4,3,0,0.032,0.384,3,OWN,car,0
43,104671.56,10.7,9329.07,60,1.1,3,1,0.392,0.481,0,MORTGAGE,credit_card,0
37,79412.49,12.8,17962.3,36,2.7,6,0,0.574,0.048,1,RENT,debt_consolidation,1
29,62617.25,8.3,18273.23,12,2.1,7,1,0.118,0.245,0,RENT,medical,0
21,54088.67,6.2,12496.21,36,1.4,3,0,0.182,0.134,1,OWN,debt_consolidation,0
33,30261.4,14.7,4879.4,60,2.6,4,0,0.373,0.537,1,MORTGAGE,car,0
47,16323.38,24.5,4707.37,36,12.4,3,0,0.239,0.407,3,MORTGAGE,credit_card,0
40,57655.33,5.8,9422.3,12,18.8,5,1,0.121,0.387,1,RENT,debt_consolidation,0
24,83872.47,12.7,7279.77,36,6.2,6,0,0.856,0.144,2,MORTGAGE,small_business,0
40,51042.63,3.4,16282.99,36,3.7,8,0,0.548,0.216,0,RENT,debt_consolidation,0
42,40369.51,2.4,14533.23,12,5.4,7,0,0.214,0.093,2,OWN,major_purchase,0
28,69945.82,3.5,13451.63,60,5.0,8,0,0.113,0.428,1,MORTGAGE,medical,0
40,51749.36,3.3,7761.91,36,11.1,4,1,0.595,0.544,0,RENT,debt_consolidation,0
39,136920.99,9.5,11950.07,24,4.4,7,0,0.446,0.672,1,RENT,car,0
25,106723.92,4.0,13364.96,60,3.4,4,0,0.514,0.232,2,RENT,home_improvement,1
42,91833.22,2.6,8902.14,36,4.0,5,0,0.239,0.227,0,MORTGAGE,debt_consolidation,0
44,82187.11,2.6,9473.55,48,27.0,1,0,0.58,0.557,2,MORTGAGE,credit_card,1
50,26646.36,8.2,13121.58,36,21.5,6,0,0.184,0.416,0,OWN,major_purchase,0
50,78014.23,9.5,5670.98,60,7.4,2,2,0.238,0.177,0,MORTGAGE,credit_card,0
23,66634.6,8.6,7730.91,60,6.0,2,1,0.428,0.091,0,MORTGAGE,car,0
28,75624.35,9.3,7369.37,12,10.3,5,0,0.165,0.378,1,OWN,debt_consolidation,0
44,71035.51,4.5,19749.17,12,3.8,1,0,0.53,0.207,2,MORTGAGE,debt_consolidation,1
44,69495.65,19.5,7947.69,36,12.2,3,0,0.281,0.298,1,RENT,credit_card,0
44,239300.79,4.6,11120.91,36,0.7,7,2,0.562,0.223,3,RENT,home_improvement,0
75,51953.16,3.9,16114.46,36,5.0,5,0,0.542,0.379,2,MORTGAGE,debt_consolidation,1
44,90670.34,9.4,6938.28,36,8.6,6,0,0.22,0.384,1,MORTGAGE,car,0
50,41812.71,4.5,18500.97,60,6.1,5,0,0.487,0.595,1,MORTGAGE,home_improvement,0
48,83688.17,3.8,19476.14,24,1.1,3,0,0.374,0.431,0,MORTGAGE,home_improvement,0
45,90819.19,4.7,3058.43,12,16.0,5,0,0.477,0.478,0,RENT,debt_consolidation,0
35,66199.91,6.6,13545.78,36,5.5,7,0,0.125,0.217,2,MORTGAGE,small_business,0
46,135684.26,11.4,20346.75,24,4.6,5,1,0.307,0.322,1,RENT,debt_consolidation,0
29,33311.17,1.3,8685.0,36,3.9,5,1,0.136,0.294,1,OWN,car,0
35,41441.1,11.4,15124.37,36,11.6,5,0,0.342,0.08,0,RENT,small_business,1
33,60889.08,1.7,4940.95,48,6.9,2,0,0.408,0.381,3,MORTGAGE,car,0
39,87942.97,2.0,4226.74,12,18.0,7,1,0.242,0.524,0,RENT,credit_card,1
63,59795.53,6.9,8480.74,48,1.1,7,0,0.559,0.405,0,OWN,car,0
18,109882.56,1.4,6091.06,24,1.0,8,2,0.411,0.156,1,MORTGAGE,small_business,1
46,37649.34,3.7,13545.47,48,0.4,10,1,0.508,0.207,2,MORTGAGE,debt_consolidation,0
20,28931.37,10.6,13285.24,24,3.0,5,0,0.551,0.199,2,MORTGAGE,debt_consolidation,1
33,64181.52,9.4,31489.08,48,0.3,7,0,0.373,0.459,2,MORTGAGE,credit_card,1
50,51924.75,11.4,17651.52,48,4.1,5,1,0.132,0.542,1,MORTGAGE,car,1
39,73026.31,3.5,7641.45,36,11.8,8,0,0.581,0.291,1,MORTGAGE,home_improvement,0
26,53365.98,4.6,11239.71,60,8.1,7,1,0.521,0.238,2,RENT,debt_consolidation,0
30,44935.76,1.8,12462.36,36,11.6,5,0,0.24,0.334,1,MORTGAGE,home_improvement,0
45,51988.84,4.7,15013.94,60,18.5,3,0,0.06,0.064,1,RENT,car,0
30,55042.83,1.9,3116.34,24,7.2,3,0,0.376,0.691,0,MORTGAGE,small_business,0
40,45810.12,25.1,8334.74,24,6.3,5,0,0.737,0.327,2,RENT,home_improvement,0
39,48449.5,7.7,20441.87,60,19.8,6,1,0.202,0.131,0,MORTGAGE,small_business,0
31,43391.71,6.6,13860.46,12,10.6,7,0,0.209,0.381,2,RENT,credit_card,1
62,86782.98,3.4,11200.42,48,0.8,6,0,0.303,0.29,1,MORTGAGE,home_improvement,0
45,60277.34,3.1,8010.8,48,6.0,6,1,0.529,0.591,1,RENT,major_purchase,1
18,187439.96,4.1,10107.94,60,1.0,9,0,0.393,0.495,1,MORTGAGE,credit_card,0
40,59182.87,7.2,11214.9,60,7.5,6,0,0.308,0.568,1,RENT,small_business,1
31,40015.75,2.4,6333.54,36,12.3,4,0,0.624,0.46,2,MORTGAGE,small_business,0
47,235359.98,1.8,12842.05,48,13.1,3,0,0.182,0.477,3,MORTGAGE,major_purchase,0
29,68015.75,0.3,11408.34,24,8.0,4,0,0.577,0.306,3,OWN,car,0
37,93392.72,7.9,8512.24,24,7.0,4,0,0.17,0.671,2,MORTGAGE,home_improvement,1
44,75031.0,5.2,8498.57,36,1.7,6,0,0.728,0.389,0,RENT,small_business,0
48,76317.39,4.1,5179.94,24,8.8,6,1,0.505,0.583,1,MORTGAGE,credit_card,0
25,72737.31,2.4,21273.65,24,2.1,6,0,0.234,0.263,1,OWN,major_purchase,0
34,29550.43,4.1,14730.69,12,5.7,3,0,0.585,0.276,1,RENT,debt_consolidation,0
33,66312.98,13.0,12998.09,12,16.0,7,0,0.375,0.498,1,MORTGAGE,medical,0
31,26142.73,3.0,15104.73,48,5.5,6,0,0.645,0.208,2,RENT,home_improvement,0
57,49222.22,8.5,2084.0,12,6.0,4,1,0.404,0.205,2,MORTGAGE,small_business,0
42,36348.58,9.3,30261.95,60,7.8,7,0,0.215,0.138,0,MORTGAGE,small_business,0
24,65947.13,2.2,2235.58,12,1.7,7,0,0.292,0.516,2,MORTGAGE,home_improvement,1
48,65105.83,2.6,18656.13,24,8.0,2,0,0.049,0.518,0,RENT,debt_consolidation,0
61,70589.04,5.4,11569.75,36,6.5,4,0,0.368,0.326,3,RENT,medical,1
49,63450.36,18.8,5773.6,48,15.8,3,0,0.481,0.421,1,MORTGAGE,credit_card,0
21,38802.74,10.7,11644.91,48,3.8,6,1,0.524,0.176,3,MORTGAGE,major_purchase,0
33,46931.67,5.4,14642.62,24,10.7,1,0,0.848,0.323,0,RENT,car,0
52,89878.85,10.9,8082.87,36,14.2,7,1,0.294,0.496,0,MORTGAGE,home_improvement,0
30,97472.07,0.7,22484.4,48,8.1,7,0,0.522,0.202,1,RENT,credit_card,1
43,28832.81,5.0,4421.18,36,12.0,6,0,0.346,0.586,1,RENT,car,0
47,23341.54,0.7,5779.71,36,8.2,4,0,0.582,0.367,0,MORTGAGE,major_purchase,1
28,36323.16,6.3,5118.64,36,11.0,4,0,0.138,0.133,2,MORTGAGE,debt_consolidation,0
37,96265.39,9.1,4633.04,36,4.6,4,2,0.373,0.166,0,MORTGAGE,debt_consolidation,0
18,105681.61,3.7,12085.19,36,1.0,5,0,0.722,0.484,2,OWN,debt_consolidation,0
27,32578.52,3.6,28640.09,48,8.0,3,0,0.381,0.41,2,OWN,small_business,0
35,64152.62,5.5,18218.75,60,1.5,4,0,0.198,0.07,1,MORTGAGE,car,0
24,148588.68,4.0,9104.44,36,7.0,6,0,0.415,0.547,1,MORTGAGE,home_improvement,0
56,68078.81,4.4,25170.79,24,6.5,2,1,0.449,0.08,3,RENT,credit_card,0
22,118400.33,11.6,20298.06,60,5.0,7,0,0.775,0.185,2,MORTGAGE,small_business,0
33,93835.6,9.4,7312.35,48,14.8,6,0,0.653,0.423,1,RENT,small_business,0
39,32839.61,7.2,9168.32,48,14.2,5,0,0.231,0.421,0,MORTGAGE,debt_consolidation,0
54,48801.2,1.5,13013.31,36,14.9,2,0,0.554,0.215,0,MORTGAGE,home_improvement,0
22,55221.9,8.1,6842.33,48,5.0,4,0,0.143,0.669,2,RENT,other,1
51,57369.8,5.3,6035.27,48,10.5,7,1,0.057,0.448,1,MORTGAGE,medical,1
38,89678.02,4.0,17030.5,48,8.9,5,0,0.598,0.659,3,RENT,other,1
27,67831.14,4.5,19574.91,60,2.5,4,0,0.775,0.105,0,MORTGAGE,major_purchase,0
43,12000.0,13.2,5931.43,36,14.6,4,2,0.077,0.061,3,RENT,medical,0
40,26316.14,10.4,13607.45,24,4.8,5,0,0.215,0.207,2,RENT,small_business,0
31,16267.76,4.4,13474.08,36,7.8,3,0,0.894,0.814,1,RENT,other,0
39,59662.02,15.2,5641.59,48,1.7,7,0,0.52,0.274,1,MORTGAGE,debt_consolidation,0
34,61837.68,9.9,13279.92,36,4.7,8,0,0.668,0.203,1,MORTGAGE,small_business,0
39,63308.43,3.1,14921.08,60,1.6,4,0,0.339,0.346,1,OWN,home_improvement,0
